steer_id,consumer_id,question,type,response,created_at
310260,126606,"What could be made better about the current cooking spinach offering in Sainsbury's, to make you more likely to buy?",Steer::FreeText,Like it. Needs to price match Aldi,"17/4/2025, 09:56"
310260,128862,"What could be made better about the current cooking spinach offering in Sainsbury's, to make you more likely to buy?",Steer::FreeText,I prefer smaller bag in addition to bigger one,"17/4/2025, 09:58"
310260,151449,"What could be made better about the current cooking spinach offering in Sainsbury's, to make you more likely to buy?",Steer::FreeText,Nothing. I'm quite happy with what's available,"17/4/2025, 09:58"
310260,152979,"What could be made better about the current cooking spinach offering in Sainsbury's, to make you more likely to buy?",Steer::FreeText,Maybe some smaller sizes,"17/4/2025, 09:56"
310260,34285,"What could be made better about the current cooking spinach offering in Sainsbury's, to make you more likely to buy?",Steer::FreeText,Cheaper price please,"17/4/2025, 09:56"
310260,167142,"What could be made better about the current cooking spinach offering in Sainsbury's, to make you more likely to buy?",Steer::FreeText,I buy spinach all the time and can't improve on my recipes,"17/4/2025, 10:01"
310260,159327,"What could be made better about the current cooking spinach offering in Sainsbury's, to make you more likely to buy?",Steer::FreeText,Quite happy with current offering small bags for one meal or large bags for 2 portions for 2 meals.,"17/4/2025, 10:04"
310260,2645,"What could be made better about the current cooking spinach offering in Sainsbury's, to make you more likely to buy?",Steer::FreeText,Maybe recipes or advice on how to cook it on the packets,"17/4/2025, 10:00"
310260,113939,"What could be made better about the current cooking spinach offering in Sainsbury's, to make you more likely to buy?",Steer::FreeText,Nothing I can think of,"17/4/2025, 10:00"
310260,160027,"What could be made better about the current cooking spinach offering in Sainsbury's, to make you more likely to buy?",Steer::FreeText,Sometimes I see the spinach sold in bags has a lot of sweat in it which means it won’t last as long,"17/4/2025, 10:02"
310260,134850,"What could be made better about the current cooking spinach offering in Sainsbury's, to make you more likely to buy?",Steer::FreeText,Longer shelf life or cheaper price/deals,"17/4/2025, 09:59"
310260,119435,"What could be made better about the current cooking spinach offering in Sainsbury's, to make you more likely to buy?",Steer::FreeText,"Sainsburys isn't my main shop, but smaller bags probably","17/4/2025, 09:59"
310260,153819,"What could be made better about the current cooking spinach offering in Sainsbury's, to make you more likely to buy?",Steer::FreeText,I don't know.  I don't know what it is like at the moment.,"17/4/2025, 09:59"
310260,121780,"What could be made better about the current cooking spinach offering in Sainsbury's, to make you more likely to buy?",Steer::FreeText,More of the product to cook,"17/4/2025, 09:57"
310260,131596,"What could be made better about the current cooking spinach offering in Sainsbury's, to make you more likely to buy?",Steer::FreeText,Longer shelf life and better price,"17/4/2025, 09:58"
310260,152432,"What could be made better about the current cooking spinach offering in Sainsbury's, to make you more likely to buy?",Steer::FreeText,Perhaps more focus on sustainability and recipe ideas,"17/4/2025, 09:58"
310260,163500,"What could be made better about the current cooking spinach offering in Sainsbury's, to make you more likely to buy?",Steer::FreeText,The bag should be increased by a little,"17/4/2025, 10:03"
310260,60817,"What could be made better about the current cooking spinach offering in Sainsbury's, to make you more likely to buy?",Steer::FreeText,I’m happy to buy it as it currently is,"17/4/2025, 10:03"
